identifier	upos_dist_DET	upos_dist_ADV	upos_dist_PUNCT	upos_dist_NUM	upos_dist_PRON	upos_dist_ADP	upos_dist_PROPN	upos_dist_ADJ	upos_dist_VERB	upos_dist_NOUN	upos_dist_CCONJ	upos_dist_AUX	xpos_dist_A	xpos_dist_VA	xpos_dist_B	xpos_dist_FB	xpos_dist_PC	xpos_dist_N	xpos_dist_V	xpos_dist_SP	xpos_dist_RD	xpos_dist_E	xpos_dist_CC	xpos_dist_FF	xpos_dist_RI	xpos_dist_FS	xpos_dist_S	verbs_mood_dist_Ind	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_form_dist_Inf	verbs_form_dist_Fin	verbs_form_dist_Part	verbs_num_pers_dist_Sing+3	aux_mood_dist_Ind	aux_tense_dist_Pres	aux_form_dist_Fin	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_advcl	dep_dist_nmod	dep_dist_obl	dep_dist_aux	dep_dist_conj	dep_dist_cop	dep_dist_advmod	dep_dist_cc	dep_dist_det	dep_dist_root	dep_dist_obj	dep_dist_punct	dep_dist_mark	dep_dist_case	dep_dist_amod	dep_dist_nsubj	subj_pre	subj_post	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prep_dist_1	subordinate_dist_1	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_4	verb_edges_dist_3	avg_verb_edges
isdt_isst_tanl-756	11.1111111111111	0	33.3333333333333	0	0	11.1111111111111	22.2222222222222	0	0	11.1111111111111	11.1111111111111	0	0	0	0	0.222222222222222	0	0	0	0.222222222222222	0.111111111111111	0.111111111111111	0.111111111111111	0	0	0.111111111111111	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	0	11.1111111111111	0	0	0	0	0	11.1111111111111	11.1111111111111	11.1111111111111	0	33.3333333333333	0	11.1111111111111	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-974	20	0	20	0	0	0	0	0	20	20	0	20	0	0.2	0	0	0	0	0.2	0	0.2	0	0	0	0	0.2	0.2	0	0	100	0	0	100	0	100	100	100	100	1	100	5	1.33333333333333	2	2	2	0	0	0	20	0	0	0	0	20	20	0	20	0	0	0	20	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	1
isdt_isst_tanl-1107	16.6666666666667	0	16.6666666666667	0	16.6666666666667	0	0	0	0	33.3333333333333	0	16.6666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0.166666666666667	0.333333333333333	0	0	0	0	0	0	0	100	100	100	100	1	100	6	1.75	3	3	2	0	16.6666666666667	0	0	0	16.6666666666667	0	0	16.6666666666667	16.6666666666667	0	16.6666666666667	0	0	0	16.6666666666667	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
isdt_isst_tanl-1276	0	0	20	0	0	20	20	20	0	20	0	0	0.2	0	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66666666666667	3	3	2	0	20	0	0	0	0	0	0	0	20	0	20	0	20	20	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-1460	20	0	20	0	0	0	0	40	0	20	0	0	0.4	0	0	0	0	0	0	0	0.2	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	2	2	1	0	0	0	0	0	0	0	0	20	20	0	20	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-1589	12.5	12.5	12.5	0	0	0	0	25	0	25	12.5	0	0.25	0	0.125	0	0	0	0	0	0	0	0.125	0	0.125	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83333333333333	5	5	2	0	0	0	0	12.5	0	12.5	12.5	12.5	12.5	0	12.5	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-1609	22.2222222222222	0	11.1111111111111	11.1111111111111	0	22.2222222222222	11.1111111111111	0	11.1111111111111	11.1111111111111	0	0	0	0	0	0	0	0.111111111111111	0.111111111111111	0.111111111111111	0.222222222222222	0.222222222222222	0	0	0	0.111111111111111	0.111111111111111	100	100	0	0	100	0	100	0	0	0	0	1	100	9	1.42857142857143	2	2	3	0	11.1111111111111	11.1111111111111	0	0	0	0	0	22.2222222222222	11.1111111111111	11.1111111111111	11.1111111111111	0	22.2222222222222	0	0	0	0	100	1	1	100	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-1673	0	12.5	25	0	0	12.5	0	25	0	25	0	0	0.25	0	0.125	0	0	0	0	0	0	0.125	0	0.125	0	0.125	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	4	4	2	0	12.5	0	0	0	0	12.5	0	0	12.5	0	25	0	12.5	25	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-1701	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	14.2857142857143	0	14.2857142857143	0	0.142857142857143	0	0	0	0	0.142857142857143	0.142857142857143	0.142857142857143	0	0	0	0	0.142857142857143	0.142857142857143	0	0	100	0	0	100	0	100	100	100	100	1	100	7	1.4	2	2	2	0	14.2857142857143	0	14.2857142857143	0	0	0	0	14.2857142857143	14.2857142857143	14.2857142857143	14.2857142857143	0	0	0	14.2857142857143	100	0	100	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-1783	12.5	0	12.5	0	0	12.5	0	12.5	25	12.5	0	12.5	0.125	0.125	0	0	0	0	0.25	0	0	0.125	0	0	0.125	0.125	0.125	0	0	100	50	0	50	0	100	100	100	0	2	100	4	1.33333333333333	2	2	3	0	0	0	12.5	0	0	0	0	12.5	12.5	12.5	12.5	12.5	0	12.5	0	0	0	100	0	0	0	100	1	50	50	100	50	50	0	0	1.5
isdt_isst_tanl-1864	20	0	20	0	0	0	0	40	0	20	0	0	0.4	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	2	2	1	0	0	0	0	0	0	0	0	20	20	0	20	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-2082	0	60	40	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2	2	1	0	0	0	0	0	0	40	0	0	20	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-2248	0	20	20	0	0	0	0	0	20	40	0	0	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0	0.2	0.4	100	100	0	0	100	0	100	0	0	0	0	1	100	5	1	1	1	2	0	0	0	0	0	0	20	0	0	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-2298	0	0	12.5	0	50	0	0	0	12.5	0	0	25	0	0.125	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	100	0	0	0	100	0	100	100	50	50	100	2	100	4	2.16666666666667	4	4	2	0	0	0	12.5	0	12.5	0	0	0	12.5	12.5	12.5	0	0	0	0	0	0	0	0	0	0	100	1	50	50	100	0	0	0	100	3
isdt_isst_tanl-2304	0	20	20	0	0	0	0	20	0	20	0	20	0.2	0	0.2	0	0	0	0.2	0	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	100	100	100	100	1	100	5	2	3	3	1	0	0	0	0	0	20	20	0	0	20	0	20	0	0	20	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
isdt_isst_tanl-2836	0	0	14.2857142857143	0	0	14.2857142857143	0	0	14.2857142857143	42.8571428571429	14.2857142857143	0	0	0	0	0	0	0	0.142857142857143	0	0	0.142857142857143	0.142857142857143	0	0	0.142857142857143	0.428571428571429	0	0	100	0	0	100	0	0	0	0	0	1	0	7	1.8	3	3	3	0	0	14.2857142857143	0	14.2857142857143	0	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	0	0	0	0	0	0	0	100	1	0	100	100	100	0	0	0	1
isdt_isst_tanl-2976	14.2857142857143	0	14.2857142857143	0	0	14.2857142857143	28.5714285714286	14.2857142857143	0	14.2857142857143	0	0	0.142857142857143	0	0	0	0	0	0	0.285714285714286	0.142857142857143	0.142857142857143	0	0	0	0.142857142857143	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	2	2	2	0	14.2857142857143	0	0	0	0	0	0	14.2857142857143	14.2857142857143	0	14.2857142857143	0	14.2857142857143	14.2857142857143	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-3044	11.1111111111111	0	11.1111111111111	0	0	11.1111111111111	0	22.2222222222222	11.1111111111111	33.3333333333333	0	0	0.222222222222222	0	0	0	0	0	0.111111111111111	0	0	0.111111111111111	0	0	0	0.111111111111111	0.333333333333333	100	100	0	0	100	0	0	0	0	0	0	1	100	9	1.28571428571429	2	2	3	0	11.1111111111111	0	0	0	0	0	0	11.1111111111111	11.1111111111111	11.1111111111111	11.1111111111111	0	11.1111111111111	22.2222222222222	11.1111111111111	100	0	100	1	1	100	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-3121	20	0	20	20	0	0	0	0	0	40	0	0	0	0	0	0	0	0.2	0	0	0.2	0	0	0	0	0.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66666666666667	3	3	2	0	20	0	0	0	0	0	0	20	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-3127	11.1111111111111	0	11.1111111111111	22.2222222222222	0	11.1111111111111	0	0	0	33.3333333333333	11.1111111111111	0	0	0	0	0	0	0.222222222222222	0	0	0	0.111111111111111	0.111111111111111	0	0.111111111111111	0.111111111111111	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71428571428571	4	4	3	0	11.1111111111111	0	0	11.1111111111111	0	0	11.1111111111111	11.1111111111111	11.1111111111111	0	11.1111111111111	0	11.1111111111111	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-3534	0	0	42.8571428571429	0	0	14.2857142857143	42.8571428571429	0	0	0	0	0	0	0	0	0.285714285714286	0	0	0	0.428571428571429	0	0.142857142857143	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	0	14.2857142857143	0	0	0	0	0	0	0	14.2857142857143	0	42.8571428571429	0	14.2857142857143	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-3601	14.2857142857143	14.2857142857143	14.2857142857143	0	14.2857142857143	14.2857142857143	0	0	14.2857142857143	14.2857142857143	0	0	0	0	0.142857142857143	0	0	0	0.142857142857143	0	0.142857142857143	0.142857142857143	0	0	0	0.142857142857143	0.142857142857143	100	100	0	0	100	0	0	0	0	0	0	1	100	7	2.4	5	5	3	0	0	14.2857142857143	0	0	0	0	0	14.2857142857143	14.2857142857143	14.2857142857143	14.2857142857143	0	14.2857142857143	0	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-3703	0	0	20	0	0	20	0	20	0	40	0	0	0.2	0	0	0	0	0	0	0	0	0.2	0	0	0	0.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	2	2	2	0	20	0	0	0	0	0	0	0	20	0	20	0	20	20	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_isst_tanl-3949	0	0	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0.125	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	6	1	0	0	0	0	37.5	0	0	0	0	12.5	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_tut-121	16.6666666666667	0	33.3333333333333	16.6666666666667	0	0	0	16.6666666666667	0	16.6666666666667	0	0	0.166666666666667	0	0	0.166666666666667	0	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66666666666667	3	3	1	0	0	0	0	0	0	0	0	16.6666666666667	16.6666666666667	0	33.3333333333333	0	0	16.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_tut-385	14.2857142857143	0	28.5714285714286	14.2857142857143	0	14.2857142857143	0	0	0	28.5714285714286	0	0	0	0	0	0	0	0.142857142857143	0	0	0.142857142857143	0.142857142857143	0	0.142857142857143	0	0.142857142857143	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	0	14.2857142857143	0	0	0	0	0	0	14.2857142857143	14.2857142857143	0	28.5714285714286	0	14.2857142857143	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_tut-423	0	0	28.5714285714286	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	28.5714285714286	0	0	0.142857142857143	0	0	0	0	0.142857142857143	0	0	0	0.142857142857143	0	0.142857142857143	0	0.142857142857143	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2	2	3	0	0	14.2857142857143	0	0	0	0	0	0	14.2857142857143	0	28.5714285714286	0	14.2857142857143	14.2857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_tut-429	0	0	40	20	0	0	0	20	0	20	0	0	0.2	0	0	0	0	0.2	0	0	0	0	0	0.2	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2	2	1	0	0	0	0	0	0	0	0	0	20	0	40	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_tut-644	11.1111111111111	0	22.2222222222222	11.1111111111111	0	11.1111111111111	0	11.1111111111111	11.1111111111111	22.2222222222222	0	0	0.111111111111111	0	0	0	0	0.111111111111111	0.111111111111111	0	0.111111111111111	0.111111111111111	0	0.111111111111111	0	0.111111111111111	0.222222222222222	0	0	100	0	0	100	0	0	0	0	0	1	0	9	1.66666666666667	3	3	3	0	0	0	0	0	0	0	0	11.1111111111111	11.1111111111111	0	22.2222222222222	0	11.1111111111111	11.1111111111111	0	0	0	0	0	0	0	100	1	0	100	100	100	0	0	0	1
isdt_tut-683	0	0	37.5	12.5	0	0	0	0	0	37.5	12.5	0	0	0	0	0	0	0.125	0	0	0	0	0.125	0.25	0	0.125	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25	4	4	2	0	0	0	0	25	0	0	12.5	0	12.5	0	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isdt_tut-833	14.2857142857143	0	28.5714285714286	14.2857142857143	0	14.2857142857143	0	0	0	28.5714285714286	0	0	0	0	0	0	0	0.142857142857143	0	0	0.142857142857143	0.142857142857143	0	0.142857142857143	0	0.142857142857143	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	0	14.2857142857143	0	0	0	0	0	0	14.2857142857143	14.2857142857143	0	28.5714285714286	0	14.2857142857143	0	0	0	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
isdt_tut-1430	25	0	12.5	0	0	0	0	25	12.5	12.5	12.5	0	0.25	0	0	0	0	0	0.125	0	0.25	0	0.125	0	0	0.125	0.125	100	100	0	0	100	0	100	0	0	0	0	1	100	8	2.16666666666667	4	4	3	0	0	0	0	12.5	0	0	12.5	25	12.5	12.5	12.5	0	0	12.5	0	0	0	100	0	0	0	0	0	100	0	0	100	0	0	0	1
isdt_tut-1702	20	0	20	0	0	0	0	20	0	20	0	20	0.2	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	100	100	100	0	1	100	5	1.33333333333333	2	2	2	0	0	0	0	0	20	0	0	20	20	0	20	0	0	0	20	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
isdt_tut-1719	25	0	12.5	0	12.5	0	0	12.5	12.5	25	0	0	0.125	0	0	0	0.125	0	0.125	0	0.25	0	0	0	0	0.125	0.25	100	100	0	0	100	0	100	0	0	0	0	1	100	8	1.66666666666667	3	3	2	0	0	0	0	0	0	0	0	25	12.5	12.5	12.5	0	0	12.5	12.5	100	0	50	0	0	0	0	0	100	0	0	0	0	0	100	3
isdt_tut-3175	0	0	33.3333333333333	0	33.3333333333333	0	0	16.6666666666667	16.6666666666667	0	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0.166666666666667	0	100	100	0	0	100	0	100	0	0	0	0	1	100	6	1.33333333333333	2	2	2	0	16.6666666666667	0	0	0	0	0	0	0	16.6666666666667	16.6666666666667	33.3333333333333	0	0	0	16.6666666666667	100	0	0	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_tut-3307	28.5714285714286	0	14.2857142857143	0	0	14.2857142857143	0	0	14.2857142857143	28.5714285714286	0	0	0	0	0	0	0	0	0.142857142857143	0	0.285714285714286	0.142857142857143	0	0	0	0.142857142857143	0.285714285714286	100	0	100	0	100	0	100	0	0	0	0	1	100	7	1.8	3	3	3	0	14.2857142857143	0	0	0	0	0	0	28.5714285714286	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	100	0	1	1	100	0	0	100	0	0	100	0	0	0	1
isdt_quest-134	0	16.6666666666667	16.6666666666667	0	0	0	33.3333333333333	0	16.6666666666667	0	0	16.6666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0.166666666666667	0.333333333333333	0	0	0	0	0	0.166666666666667	0	0	0	100	0	0	100	0	100	0	100	100	1	100	6	1.25	2	2	2	0	0	0	0	0	0	16.6666666666667	0	0	16.6666666666667	0	16.6666666666667	0	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	100	3
isdt_quest-174	25	0	12.5	0	12.5	0	12.5	0	12.5	12.5	0	12.5	0	0.125	0	0	0	0	0.125	0.125	0.125	0	0	0	0	0.125	0.125	0	0	100	0	0	100	0	100	100	100	100	1	100	8	1.33333333333333	2	2	2	0	12.5	0	12.5	0	0	0	0	25	12.5	12.5	12.5	0	0	0	12.5	0	100	0	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_quest-190	12.5	0	12.5	0	12.5	12.5	12.5	12.5	0	12.5	0	12.5	0.125	0	0	0	0	0	0.125	0.125	0.125	0.125	0	0	0	0.125	0.125	0	0	0	0	0	0	0	100	0	100	100	1	100	8	1.83333333333333	4	4	3	0	12.5	0	0	0	12.5	0	0	12.5	12.5	0	12.5	0	12.5	12.5	12.5	0	100	0	1	1	100	0	0	100	0	0	0	0	0	0	0
isdt_quest-207	22.2222222222222	0	33.3333333333333	0	11.1111111111111	0	11.1111111111111	0	11.1111111111111	11.1111111111111	0	0	0	0	0	0.222222222222222	0	0	0.111111111111111	0.111111111111111	0.111111111111111	0	0	0	0	0.111111111111111	0.111111111111111	100	0	100	0	100	0	100	0	0	0	0	1	100	9	1.6	3	3	2	0	11.1111111111111	0	0	0	0	0	0	22.2222222222222	11.1111111111111	11.1111111111111	33.3333333333333	0	0	0	11.1111111111111	100	0	100	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_quest-239	22.2222222222222	0	11.1111111111111	0	0	11.1111111111111	0	0	11.1111111111111	33.3333333333333	0	11.1111111111111	0	0.111111111111111	0	0	0	0	0.111111111111111	0	0	0.111111111111111	0	0	0.111111111111111	0.111111111111111	0.333333333333333	0	0	100	0	0	100	0	100	100	100	100	1	100	9	1.42857142857143	2	2	2	0	0	11.1111111111111	11.1111111111111	0	0	0	0	22.2222222222222	11.1111111111111	0	11.1111111111111	0	11.1111111111111	0	11.1111111111111	0	100	0	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_quest-255	22.2222222222222	11.1111111111111	11.1111111111111	0	0	11.1111111111111	11.1111111111111	0	11.1111111111111	11.1111111111111	0	11.1111111111111	0	0.111111111111111	0.111111111111111	0	0	0	0.111111111111111	0.111111111111111	0.222222222222222	0.111111111111111	0	0	0	0.111111111111111	0.111111111111111	0	0	100	0	0	100	0	100	100	100	100	1	100	9	1.71428571428571	3	3	3	0	11.1111111111111	0	11.1111111111111	0	0	11.1111111111111	0	22.2222222222222	11.1111111111111	0	11.1111111111111	0	11.1111111111111	0	11.1111111111111	0	100	0	1	1	100	0	0	100	0	0	0	100	0	0	2
